Building Name,Address,Latitude,Longitude
Atkins Library,"9201 University City Blvd, Charlotte, NC 28223"
Auxiliary Services,"9016 Craver Rd, Charlotte, NC 28223"
Barnard,"9129 Mary Alexander Rd, Charlotte, NC 28223"
Belk Gym,"8911 University Rd, Charlotte, NC 28223"
Bioinformatics,"9331 Robert D. Snyder Rd, Charlotte, NC 28223"
Burson,"9006 Craver Rd, Charlotte, NC 28223"
Cameron,"9010 Craver Rd, Charlotte, NC 28223"
Cato College of Education,"8838 Craver Rd, Charlotte, NC 28223"
Cato Hall,"9135 Mary Alexander Rd, Charlotte, NC 28262"
Charlotte Engineering Early College,"9000 Robert D. Snyder Rd, Charlotte, NC 28223"
College of Health and Human Services,"8844 Craver Rd, Charlotte, NC 28223"
Colvard,"9105 University Rd, Charlotte, NC 28223"
Cone,"9025 University Rd, Charlotte, NC 28223"
Denny,"9125 Mary Alexander Rd, Charlotte, NC 28223"
Duke Centennial,"9330 Robert D. Snyder Rd, Charlotte, NC 28223"
Energy Production and Infrastructure Center,"8700 Phillips Rd, Charlotte, NC 28262"
Facilities Management/PPS,"9151 Cameron Blvd, Charlotte, NC 28262"
Facilities Operations and Parking,"9643 Poplar Ln, Charlotte, NC 28262"
Foundation Building,8724 University City Blvd Charlotte NC 28213
Fretwell,"9203 Mary Alexander Rd, Charlotte, NC 28223"
Friday,"9209 Mary Alexander Rd, Charlotte, NC 28262"
Gage,"8910 Johnson Alumni Way, Charlotte, NC 28262"
Garinger,"9121 Mary Alexander Rd, Charlotte, NC 28223"
Harris Alumni Center,"8688 Johnson, Johnson Alumni Way, Charlotte, NC 28262"
Kennedy,"9214 South Library Ln, Charlotte, NC 28223"
King,"9037 University Rd, Charlotte, NC 28223"
Kulwicki Motorsports Lab,"8414 Phillips Rd, Charlotte, NC 28223"
Macy,"9224 Library Ln, Charlotte, NC 28223"
McEniry,"9215 Mary Alexander Rd, Charlotte, NC 28223"
Mebane,"8838 Craver Rd, Charlotte, NC 28223"
Popp Martin Student Union,"8845 Craver Rd, Charlotte, NC 28262"
PORTAL,"9319 Robert D. Snyder Rd, Charlotte, NC 28223"
Receiving and Stores Building,"9647 Poplar Ln, Charlotte, NC 28262"
Reese,"9035 University Rd, Charlotte, NC 28223"
Robinson,"9027 Mary Alexander Rd, Charlotte, NC 28223"
Rowe Arts,"9119 University Rd, Charlotte, NC 28223"
Science,"9029 Craver Rd, Charlotte, NC 28223"
Smith,"319 Library Ln, Charlotte, NC 28223"
Storrs,"9115 Mary Alexander Rd, Charlotte, NC 28262"
Winningham,"9236 SOUTH Library Ln, Charlotte, NC 28223",35.3051334,-80.7329745
Woodward,"8723 Cameron Blvd, Charlotte, NC 28262",35.3075867,-80.7379386
